State/Territory,Week_Ending_Date,Data_Collection_Period,State/Territory_WVAL,National_WVAL,Regional_WVAL,WVAL_Category,Coverage,date_updated
"South Dakota","2024-04-06","All Results","3.6220653216452234","1.8647765315246563","1.7044377490525364","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-01","All Results","6.232596704856062","4.123930419552647","4.184984931211741","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Vermont","2022-05-14","All Results","15.694246043437815","5.530430866184956","9.150976984727487","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-01-04","All Results","13.00877947724896","6.116876082100209","6.878065781721879","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-05-10","All Results","4.71247538382673","1.7238284184718728","1.870769725170053","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-10-12","All Results","2.59972485866862","3.0599572250579365","2.963360487640741","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2022-06-04","All Results","4.076246112115209","7.0954296647871615","8.040463570419545","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-03-05","All Results","0.9069669397818023","1.3342281450412783","1.0982930340733428","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2023-12-30","All Results","5.990708085894967","13.4993924409652","11.946531666907335","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-22","All Results","6.87475427281082","2.5450695334455484","3.0084213350473012","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-02-24","All Results","11.408481940331034","6.171735334960729","6.618743129115427","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2024-02-10","All Results","7.642397407371535","6.9005801379812866","6.987611061268348","High","Limited Coverage","2025-12-11T08:29:03.022Z"
"Vermont","2022-05-07","All Results","13.917189682049687","4.460699899811297","7.91032285819965","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-26","All Results","2.9866144676477306","2.240837431518174","1.9999017619809316","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-02-15","All Results","8.524032826419816","5.6026863675965295","7.255329499884366","Very High","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Carolina","2024-04-06","All Results","1.5322015506938378","1.8647765315246563","2.672111454407835","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-04-19","All Results","2.5299701418034863","2.4206323513959926","2.2998127171157985","Low","Limited Coverage","2025-12-11T08:29:03.022Z"
"South Dakota","2025-03-08","1 Year","4.011705272806099","3.543313439222368","3.8649478364386605","Moderate","Limited Coverage","2025-12-11T08:29:03.022Z"
"Tennessee","2022-03-12","All Results","0.7513565370778101","1.0261219967711732","1.0","Very Low","Limited Coverage","2025-12-11T08:29:03.022Z"
