Week_Ending_Date,Data_Collection_Period,State/Territory,State/Territory_WVAL,WVAL_Category,Coverage,National_WVAL,Regional_WVAL,date_updated
"2023-04-29","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-04-15","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0152113595752335","1.0","2025-12-11T08:09:27.575Z"
"2023-07-15","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-29","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-09-16","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-04-08","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0734111026990503","1.0","2025-12-11T08:09:27.575Z"
"2023-09-02","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-22","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-09-30","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0628012697548512","1.1256025395097027","2025-12-11T08:09:27.575Z"
"2023-09-23","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0","1.1577564177346849","2025-12-11T08:09:27.575Z"
"2023-05-20","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-06-24","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-06-10","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-01","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-06-03","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-05-06","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-08-19","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-09-09","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-08-12","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-04-22","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-08-26","All Results","Wyoming","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-05-13","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-06-17","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-07-08","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-05-27","All Results","Wisconsin","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-11-29","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.7305745870615572","1.8138397419805734","2025-12-11T08:09:27.575Z"
"2024-07-06","All Results","Indiana","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-02-04","All Results","Iowa","4.359937852727373","Low","Limited Coverage","2.255143585406013","2.406185200857765","2025-12-11T08:09:27.575Z"
"2023-09-09","All Results","Maine","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-11-08","All Results","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-11-09","All Results","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2023-01-28","All Results","North Carolina","1.6393917193238798","Very Low","Limited Coverage","2.977101406598779","2.079834776769134","2025-12-11T08:09:27.575Z"
"2023-01-14","All Results","North Carolina","3.0948754488527435","Low","Limited Coverage","5.291988397933244","3.914083446921638","2025-12-11T08:09:27.575Z"
"2022-12-24","All Results","Pennsylvania","12.908203752303274","High","Limited Coverage","15.060890978726178","17.65841430950794","2025-12-11T08:09:27.575Z"
"2022-08-06","All Results","Colorado","1.0","Very Low","Limited Coverage","1.2000895927936233","1.0","2025-12-11T08:09:27.575Z"
"2022-09-17","All Results","Colorado","1.0","Very Low","Limited Coverage","1.046942466991124","1.0","2025-12-11T08:09:27.575Z"
"2022-03-26","All Results","Idaho","5.585185209048901","Low","Limited Coverage","3.058646753502513","2.177674215560174","2025-12-11T08:09:27.575Z"
"2023-02-18","All Results","Indiana","1.3391451821797737","Very Low","Limited Coverage","1.6822740252896287","1.96282206490622","2025-12-11T08:09:27.575Z"
"2025-11-29","All Results","Mississippi","1.8138397419805734","Very Low","Limited Coverage","1.7305745870615572","1.8138397419805734","2025-12-11T08:09:27.575Z"
"2024-12-07","All Results","New York","3.2381337967869666","Low","Limited Coverage","1.554927319672013","1.6524754803271862","2025-12-11T08:09:27.575Z"
"2025-01-25","All Results","South Dakota","85.83255752657227","Very High","Limited Coverage","18.91112680048799","18.180818570717992","2025-12-11T08:09:27.575Z"
"2024-02-24","All Results","South Dakota","35.64855931423237","Very High","Limited Coverage","6.108822871438287","8.204908141619505","2025-12-11T08:09:27.575Z"
"2024-01-13","All Results","Arizona","1.0","Very Low","Limited Coverage","7.3881041272571295","7.538993875697273","2025-12-11T08:09:27.575Z"
"2024-02-24","All Results","Arkansas","19.367223891423464","Very High","Limited Coverage","6.108822871438287","4.012737601257068","2025-12-11T08:09:27.575Z"
"2025-08-09","6 Months","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-12-03","All Results","Indiana","18.749214304707923","Very High","Limited Coverage","15.16517012452989","17.042691672813618","2025-12-11T08:09:27.575Z"
"2022-10-01","All Results","Maine","5.813132673975421","Low","Limited Coverage","1.5234886561287575","2.413766022853121","2025-12-11T08:09:27.575Z"
"2022-09-17","All Results","Michigan","1.821989404093051","Very Low","Limited Coverage","1.046942466991124","1.0","2025-12-11T08:09:27.575Z"
"2025-07-05","6 Months","Michigan","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-10-25","1 Year","Mississippi","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-03-09","All Results","Missouri","1.9757132241515523","Very Low","Limited Coverage","4.632118287045177","7.1210973769974775","2025-12-11T08:09:27.575Z"
"2025-09-06","All Results","New York","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2025-03-08","1 Year","New York","7.3209190596862115","Moderate","Limited Coverage","8.47318666824106","7.846337082624101","2025-12-11T08:09:27.575Z"
"2025-04-26","All Results","Oklahoma","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2024-03-30","All Results","Pennsylvania","4.730596299764784","Low","Limited Coverage","3.3935302103988225","4.7847978376043265","2025-12-11T08:09:27.575Z"
"2023-11-04","All Results","South Dakota","1.0","Very Low","Limited Coverage","1.6669733464389154","1.0","2025-12-11T08:09:27.575Z"
"2022-11-05","All Results","Idaho","2.089384724298518","Very Low","Limited Coverage","4.782572301494523","4.915736278718958","2025-12-11T08:09:27.575Z"
"2023-10-28","All Results","Indiana","1.0","Very Low","Limited Coverage","1.0322958409102616","1.0","2025-12-11T08:09:27.575Z"
"2023-10-21","All Results","Michigan","1.7681081895317048","Very Low","Limited Coverage","1.3419655661590166","1.0","2025-12-11T08:09:27.575Z"
"2024-06-01","All Results","Missouri","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-05-21","All Results","Texas","1.3757515827066222","Very Low","Limited Coverage","3.6354259469911616","3.221354991245038","2025-12-11T08:09:27.575Z"
"2024-06-08","All Results","Arizona","1.0","Very Low","Limited Coverage","1.0","1.6465299349271065","2025-12-11T08:09:27.575Z"
"2025-11-01","All Results","Arkansas","1.0","Very Low","Limited Coverage","1.0","1.0","2025-12-11T08:09:27.575Z"
"2022-04-23","All Results","Florida","2.5640658609664544","Very Low","Limited Coverage","2.6638548285184944","2.1744094613614666","2025-12-11T08:09:27.575Z"
"2023-03-04","All Results","Indiana","1.3178007494466049","Very Low","Limited Coverage","1.3050626277837973","1.1589003747233024","2025-12-11T08:09:27.575Z"
